2025-04-16 22:31:14 - ეპოქა 1: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:16 - ეპოქა 2: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:18 - ეპოქა 3: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:21 - ეპოქა 4: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:23 - ეპოქა 5: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:25 - ეპოქა 6: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:28 - ეპოქა 7: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:30 - ეპოქა 8: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:32 - ეპოქა 9: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:35 - ეპოქა 10: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:39 - ეპოქა 11: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:42 - ეპოქა 12: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:44 - ეპოქა 13: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:47 - ეპოქა 14: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:51 - ეპოქა 15: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:53 - ეპოქა 16: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:56 - ეპოქა 17: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:31:59 - ეპოქა 18: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:02 - ეპოქა 19: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:05 - ეპოქა 20: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:08 - ეპოქა 21: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:10 - ეპოქა 22: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:13 - ეპოქა 23: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:15 - ეპოქა 24: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:17 - ეპოქა 25: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:20 - ეპოქა 26: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:22 - ეპოქა 27: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:25 - ეპოქა 28: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:27 - ეპოქა 29: ტრენინგი=0.000000, ვალიდაცია=0.000000
2025-04-16 22:32:30 - ეპოქა 30: ტრენინგი=0.000000, ვალიდაცია=0.000000
